Nom du site,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
LEON SAY,247.0,255.0,251.0,258.0,274.0,277.0,305.0,316.0,294.5,291.0,287.0,288.0
LINOT,131.0,155.5,180.0,207.5,232.0,272.0,312.0,329.0,303.5,296.0,295.0,307.0
LONGCHAMP,349.0,361.5,329.0,333.0,323.0,330.0,360.5,337.0,331.0,345.0,346.0,320.0
LOUIS GUIOTTON,63.5,70.0,74.0,69.0,69.0,70.0,73.0,89.0,86.0,99.0,102.0,104.0
LOUIS PERGAUD,268.0,271.0,279.0,292.0,310.0,325.0,324.0,313.0,316.0,296.5,292.0,303.0
LOUISE MICHEL,261.0,258.0,252.0,236.5,241.0,247.0,249.0,241.0,251.0,256.5,257.0,250.5
LUCIE AUBRAC,106.5,116.5,118.5,117.0,120.0,110.0,96.0,108.0,98.0,97.0,90.0,73.0
MAISDON PAJOT,141.0,133.0,132.0,137.0,145.0,147.0,164.0,165.0,172.0,166.0,167.0,154.0
MAISON NEUVE,113.0,101.0,106.0,106.0,102.0,114.0,130.0,126.0,127.5,122.0,125.0,128.0
MARSAUDERIES E,,,,,221.0,237.0,241.5,227.0,241.5,239.0,223.0,216.0
MARSAUDERIES M,,,,,154.5,168.0,162.0,160.0,154.0,155.0,143.0,155.0
MAURICE MACE E,,,,,165.5,169.0,199.5,213.0,209.0,196.0,179.0,180.0
MAURICE MACE M,,,,,217.5,212.0,246.5,258.0,263.0,262.0,268.0,247.0
MOLIERE,99.0,101.0,104.0,108.0,113.0,110.0,125.0,102.0,94.0,91.0,90.0,76.0
MULOTIERE,74.0,72.0,78.0,137.0,139.0,141.0,164.0,151.0,145.0,135.0,125.0,130.0
MUTUALITE,249.0,244.0,250.0,240.0,238.0,246.0,282.0,316.0,343.0,362.0,349.0,325.0
PAUL GAUGUIN,119.0,148.0,159.0,155.0,161.5,172.0,167.0,157.0,156.0,179.0,188.0,178.0
PAULINE KERGOMARD,76.0,76.5,83.0,75.0,74.0,80.0,92.0,94.0,102.0,104.0,100.0,79.0
PLESSIS CELLIER,161.5,152.0,144.0,140.0,158.0,159.0,169.5,182.0,208.5,226.0,198.0,208.0
PORT BOYER,222.0,223.5,228.0,223.0,223.0,258.0,262.0,268.0,250.0,259.0,254.0,258.0
REFORMES,97.0,106.0,103.0,110.0,108.0,112.0,140.0,141.0,141.0,139.0,143.5,132.0
RUE NOIRE,161.0,155.0,153.0,158.0,164.0,159.0,175.5,186.0,168.0,166.0,160.0,149.0
STALINGRAD E,,,,,121.0,124.0,137.5,135.5,131.0,116.0,132.0,146.5
STALINGRAD M,,,,,93.0,89.0,101.0,105.0,108.0,95.0,94.0,91.0
SULLY,282.0,291.0,310.0,279.0,264.0,275.0,317.0,325.0,319.0,309.0,313.0,295.0
URBAIN LE VERRIER,212.0,222.0,211.5,189.0,197.5,180.0,196.0,211.0,224.0,231.0,233.0,246.5
VILLA MARIA,101.0,107.0,101.0,104.0,108.0,117.0,140.0,117.0,115.0,114.0,108.0,114.0
